HomeTeam,AwayTeam,Result,Home.Score,Away.Score,Home.Odds,Draw.Odds,Away.Odds
Aston Villa,Stoke,Draw,0,0,2.54,3.32,2.92
Aston Villa,Man City,Draw,0,0,7.55,4.47,1.17
Aston Villa,Watford,Draw,2,2,2.78,3.22,2.75
Aston Villa,West Ham,Draw,1,1,2.75,3.27,2.64
Aston Villa,Crystal Palace,Draw,0,0,3.03,3.16,2.42
Aston Villa,Newcastle,Draw,0,0,5.71,4.04,1.34
Aston Villa,Newcastle,Draw,0,0,2.53,3.32,2.89
Aston Villa,Southampton,Draw,1,1,4.71,3.58,1.59
Aston Villa,Man United,Draw,1,1,6.33,3.97,1.43
Aston Villa,Sunderland,Draw,0,0,2.39,3.16,3.21
Aston Villa,Crystal Palace,Draw,0,0,2.46,3.19,3.04
Aston Villa,Swansea,Draw,0,0,2.49,3.19,3.11
Aston Villa,QPR,Draw,3,3,2.17,3.36,3.78
Aston Villa,Everton,Draw,3,3,2.72,3.3,2.65
Aston Villa,Burnley,Draw,1,1,2.11,3.45,3.67
Aston Villa,Sunderland,Draw,0,0,1.94,3.51,4.03
Aston Villa,Crystal Palace,Draw,1,1,1.8,3.52,4.71
Aston Villa,Swansea,Draw,1,1,2.79,3.27,2.56
Aston Villa,Chelsea,Draw,0,0,7.51,4.12,1.12
Aston Villa,Southampton,Draw,0,0,3.38,3.38,2.06
Aston Villa,West Brom,Draw,1,1,2.56,3.25,2.95
Aston Villa,Man United,Draw,2,2,7.41,4.23,1.26
Aston Villa,Arsenal,Draw,0,0,5.31,3.77,1.49
Aston Villa,Reading,Draw,1,1,1.97,3.43,4.1
Aston Villa,Stoke,Draw,1,1,2.48,3.25,2.8
Aston Villa,Southampton,Draw,1,1,2.54,3.34,2.91
Aston Villa,QPR,Draw,2,2,2.17,3.41,3.55
Aston Villa,Fulham,Draw,1,1,2.31,3.29,3.32
Aston Villa,Everton,Everton,0,3,4.52,3.6,1.74
Aston Villa,Everton,Everton,0,2,3.48,3.29,2.11
Aston Villa,Everton,Everton,0,3,2.93,3.37,2.59
Aston Villa,Fulham,Fulham,1,2,1.96,3.5,4.17
Aston Villa,Leicester,Leicester,0,1,3.51,3.33,2.13
Aston Villa,Liverpool,Liverpool,0,6,4.53,3.5,1.79
Aston Villa,Liverpool,Liverpool,0,2,4.32,3.5,1.73
Aston Villa,Liverpool,Liverpool,0,1,3.99,3.55,1.73
Aston Villa,Liverpool,Liverpool,1,2,4.99,3.79,1.66
Aston Villa,Man City,Man City,0,2,7.01,4.26,1.34
Aston Villa,Man City,Man City,2,3,7.08,4.13,1.33
Aston Villa,Man City,Man City,0,1,7.45,4.41,1.35
Aston Villa,Man United,Man United,0,1,5.5,3.77,1.46
Aston Villa,Man United,Man United,0,3,5.42,3.63,1.55
Aston Villa,Newcastle,Newcastle,0,2,2.16,3.32,3.55
Aston Villa,Newcastle,Newcastle,0,3,2.83,3.27,2.67
Aston Villa,Southampton,Southampton,2,4,6.79,4.13,1.33
Aston Villa,Stoke,Stoke,1,2,2.7,3.12,2.79
Aston Villa,Stoke,Stoke,1,4,2.18,3.23,3.61
Aston Villa,Swansea,Swansea,0,2,2.88,3.17,2.53
Aston Villa,Tottenham,Tottenham,0,2,7.36,4.31,1.28
Aston Villa,Tottenham,Tottenham,1,2,3.74,3.45,2.02
Aston Villa,Tottenham,Tottenham,0,2,4,3.5,1.82
Aston Villa,Tottenham,Tottenham,0,4,3.83,3.52,2.06
Aston Villa,West Brom,West Brom,0,1,2.35,3.24,3.28
Aston Villa,West Ham,West Ham,0,2,2.07,3.28,3.81
Aston Villa,Wigan,Wigan,0,2,2.37,3.25,3.25
Bournemouth,Arsenal,Arsenal,0,3,3.95,3.41,1.89
Bournemouth,Leicester,Bournemouth,1,0,2.22,3.32,3.36
Bournemouth,Sunderland,Bournemouth,3,0,1.73,3.72,5.15
Bournemouth,Man United,Bournemouth,2,1,3.32,3.34,2.22
Bournemouth,Norwich,Bournemouth,2,0,1.93,3.5,4.39
Bournemouth,Southampton,Bournemouth,2,0,2.89,3.24,2.48
Bournemouth,Burnley,Burnley,4,5,4.94,5.43,7.71
Bournemouth,Chelsea,Chelsea,1,4,3,3.37,2.38
Bournemouth,Crystal Palace,Crystal Palace,3,4,1.15,3.81,4.33
Bournemouth,Aston Villa,Draw,0,0,2.02,3.39,3.84
Bournemouth,Watford,Draw,1,1,2.15,3.32,3.63
Bournemouth,Everton,Draw,3,3,2.88,3.44,2.44
Bournemouth,Crystal Palace,Draw,0,0,2.49,3.38,2.83
Bournemouth,Swansea,Draw,2,2,1.96,3.35,4.17
Bournemouth,Norwich,Draw,4,4,6.74,3.32,2.11
Bournemouth,Watford,Draw,2,2,4.67,3.39,2.98
Bournemouth,QPR,Draw,1,1,5.54,3.44,1.55
Bournemouth,Hull,Draw,2,2,1.7,3.35,3.1
Bournemouth,Cardiff,Draw,2,2,2.25,4.09,5.44
Bournemouth,Wigan,Draw,0,0,2.35,3.61,3.46
Bournemouth,Fulham,Draw,1,1,3.46,3.44,4.08
Bournemouth,Middlesborough,Draw,1,1,3.46,2.71,1.22
Bournemouth,Leicester,Leicester,0,2,1.94,3.51,5.44
Bournemouth,Liverpool,Liverpool,0,3,3.55,3.43,2.05
Bournemouth,Man City,Man City,0,4,3.85,3.46,1.92
Bournemouth,Newcastle,Newcastle,0,1,2.29,3.37,3.27
Bournemouth,Reading,Reading,2,3,3.46,3.44,4.08
Bournemouth,Stoke,Stoke,0,2,2.06,3.3,3.81
Bournemouth,Swansea,Swansea,2,3,1.72,3.27,5.65
Bournemouth,Tottenham,Tottenham,1,5,3.49,3.29,2.21
Bournemouth,West Brom,West Brom,0,1,1.91,3.37,4.55
Bournemouth,West Ham,West Ham,1,2,2.05,3.45,3.83
Burnley,Arsenal,Arsenal,0,1,6.97,4.25,1.28
Burnley,Bournemouth,Bournemouth,2,3,1.22,5.34,7.44
Burnley,Newcastle,Burnley,1,0,2.87,3.23,2.6
Burnley,QPR,Burnley,3,1,2.27,3.3,3.45
Burnley,Leicester,Burnley,2,0,5.84,3.46,3.79
Burnley,Burnley,Burnley,3,1,2.14,3.5,3.46
Burnley,Reading,Burnley,3,1,2.56,3.25,2.95
Burnley,Wigan,Burnley,3,1,2.11,3.35,3.72
Burnley,Chelsea,Chelsea,1,3,8.38,4.85,1.1
Burnley,Man United,Draw,0,0,6.28,4.03,1.29
Burnley,Sunderland,Draw,1,1,2.69,3.23,2.85
Burnley,Hull,Draw,0,0,2.61,3.21,2.72
Burnley,Aston Villa,Draw,1,1,2.21,3.3,3.52
Burnley,Southampton,Draw,0,0,4.99,3.59,1.57
Burnley,Liverpool,Draw,0,0,4.45,3.63,1.62
Burnley,Crystal Palace,Draw,3,3,2.56,3.27,2.99
Burnley,West Brom,Draw,3,3,2.68,3.25,2.79
Burnley,Swansea,Draw,0,0,2.73,3.27,2.67
Burnley,Tottenham,Draw,0,0,3.68,3.48,1.94
Burnley,Leicester,Draw,0,0,2.61,3.28,2.82
Burnley,Stoke,Draw,0,0,2.78,3.29,2.57
Burnley,Norwich,Draw,1,1,1.45,3.79,3.61
Burnley,Crystal Palace,Draw,0,0,1.17,3.1,3.43
Burnley,Hull,Draw,1,1,1.89,3.36,4.31
Burnley,Cardiff,Draw,2,2,1.97,3.38,3.97
Burnley,Fulham,Draw,2,2,2.19,3.34,3.79
Burnley,Middlesborough,Draw,1,1,1.6,3.94,6.03
Burnley,Everton,Everton,1,3,4.75,3.68,1.65
Burnley,Man City,Man City,0,1,7.37,4.58,1.19
Burnley,QPR,QPR,1,2,1.41,4.37,8.48
Burnley,Swansea,Swansea,1,2,2.14,3.43,4.72
Burnley,West Ham,West Ham,0,2,2.86,3.24,2.71
Cardiff,Arsenal,Arsenal,0,2,5.87,3.96,1.39
Cardiff,Burnley,Burnley,1,3,1.27,5.48,13.03
Cardiff,Norwich,Cardiff,2,1,2.27,3.35,3.38
Cardiff,Fulham,Cardiff,2,0,2.34,3.33,3.26
Cardiff,Crystal Palace,Cardiff,2,0,3.07,4.08,5.43
Cardiff,Wigan,Cardiff,1,0,3.99,3.37,1.97
Cardiff,Fulham,Cardiff,4,2,1.17,5.04,6.43
Cardiff,Chelsea,Chelsea,1,2,8.1,4.52,1.22
Cardiff,Crystal Palace,Crystal Palace,0,2,2.32,3.2,3.37
Cardiff,Everton,Draw,0,0,3.24,3.37,2.12
Cardiff,Tottenham,Draw,1,1,4.52,3.57,1.79
Cardiff,Swansea,Draw,0,0,3.22,3.32,2.15
Cardiff,West Brom,Draw,0,0,2.56,3.28,2.84
Cardiff,Sunderland,Draw,2,2,2.32,3.3,3.35
Cardiff,Aston Villa,Draw,0,0,2.48,3.3,3.01
Cardiff,Bournemouth,Draw,1,1,6.74,3.37,3.32
Cardiff,Norwich,Draw,0,0,2.54,3.75,3.83
Cardiff,Swansea,Draw,2,2,2.1,3.48,3.43
Cardiff,Cardiff,Draw,0,0,2.1,3.32,9.56
Cardiff,QPR,Draw,1,1,1.51,4,7.1
Cardiff,Reading,Draw,1,1,4.2,3.66,1.87
Cardiff,Middlesborough,Draw,0,0,1.7,3.38,8.51
Cardiff,Hull,Hull,0,4,2.57,3.23,2.94
Cardiff,Leicester,Leicester,2,4,2.2,2.34,3.75
Cardiff,Liverpool,Liverpool,2,6,8.14,4.81,1.21
Cardiff,Man City,Man City,2,3,8.38,4.49,1.16
Cardiff,Man United,Man United,2,3,6.13,4.01,1.36
Cardiff,Newcastle,Newcastle,0,3,2.33,3.38,3.25
Cardiff,Southampton,Southampton,0,3,3.17,3.33,2.26
Cardiff,Stoke,Stoke,0,1,2.46,3.33,3.05
Cardiff,West Ham,West Ham,1,2,1.98,3.47,4.1
Chelsea,Arsenal,Chelsea,2,0,2.48,3.36,2.97
Chelsea,Aston Villa,Chelsea,2,0,1.27,5.22,9.69
Chelsea,Sunderland,Chelsea,3,0,1.29,5.41,11.48
Chelsea,Newcastle,Chelsea,4,0,1.42,4.49,7.72
Chelsea,Leicester,Chelsea,2,0,1.21,6.31,15.09
Chelsea,Swansea,Chelsea,4,2,1.29,5.46,11.69
Chelsea,Aston Villa,Chelsea,2,0,1.19,6.15,13.91
Chelsea,Arsenal,Chelsea,2,0,1.65,3.85,5.64
Chelsea,QPR,Chelsea,2,0,1.12,7.22,19.03
